epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6741,0,124.171,0,0,0,0,0,0,218.113,0,0.00021109,0.00021109,0.00021109
2,84.3527,0,109.384,0,0,0,0,0,0,192.458,0,0.000424711,0.000424711,0.000424711
3,124.589,0,98.6779,0,0,0,0,0,0,153.693,0,0.000629533,0.000629533,0.000629533
4,167.559,0,92.3243,0,0,0,0,0,0,134.413,0,0.000825555,0.000825555,0.000825555
5,211.802,0,87.4994,0,0,0,0,0,0,134.532,0,0.00101278,0.00101278,0.00101278
6,251.606,0,81.2005,0,0,0,0,0,0,126.869,0,0.00100101,0.00100101,0.00100101
7,290.567,0,76.0135,0,0,0,0,0,0,116.918,0,0.000979013,0.000979013,0.000979013
8,329.457,0,70.302,0,0,0,0,0,0,115.262,0,0.000957015,0.000957015,0.000957015
1,41.7246,0,124.171,0,0,0,0,0,0,218.113,0,0.00021109,0.00021109,0.00021109
2,82.4469,0,109.384,0,0,0,0,0,0,192.458,0,0.000424711,0.000424711,0.000424711
3,121.993,0,98.6779,0,0,0,0,0,0,153.693,0,0.000629533,0.000629533,0.000629533
4,161.491,0,92.3243,0,0,0,0,0,0,134.413,0,0.000825555,0.000825555,0.000825555
5,200.646,0,87.4994,0,0,0,0,0,0,134.532,0,0.00101278,0.00101278,0.00101278
6,242.042,0,81.2005,0,0,0,0,0,0,126.869,0,0.00100101,0.00100101,0.00100101
7,282.256,0,76.0135,0,0,0,0,0,0,116.918,0,0.000979013,0.000979013,0.000979013
8,324.742,0,70.302,0,0,0,0,0,0,115.262,0,0.000957015,0.000957015,0.000957015
9,365.497,0,65.0233,0,0,0,0,0,0,109.455,0,0.000935018,0.000935018,0.000935018
10,404.668,0,60.0127,0,0,0,0,0,0,109.848,0,0.00091302,0.00091302,0.00091302
11,444.118,0,55.4194,0,0,0,0,0,0,261.884,0,0.000891022,0.000891022,0.000891022
12,483.175,0,51.0386,0,0,0,0,0,0,355.805,0,0.000869024,0.000869024,0.000869024
13,523.951,0,46.8764,0,0,0,0,0,0,82.6231,0,0.000847026,0.000847026,0.000847026
14,565.039,0,42.9464,0,0,0,0,0,0,76.3012,0,0.000825029,0.000825029,0.000825029
15,604.302,0,39.4457,0,0,0,0,0,0,323.365,0,0.000803031,0.000803031,0.000803031
16,644.066,0,36.2505,0,0,0,0,0,0,1098.96,0,0.000781033,0.000781033,0.000781033
17,682.728,0,33.2373,0,0,0,0,0,0,57.4317,0,0.000759035,0.000759035,0.000759035
18,721.24,0,30.8277,0,0,0,0,0,0,52.5337,0,0.000737037,0.000737037,0.000737037
1,42.88,3.01786,5.29832,1.78923,0.00357,0.2175,0.07553,0.01963,1.91208,4.8035,1.40112,0.00021109,0.00021109,0.00021109
2,87.195,1.94774,3.08648,1.25852,0.00497,0.28,0.13294,0.05576,1.67247,3.98246,1.26887,0.000424711,0.000424711,0.000424711
3,128.574,1.52184,2.35187,1.16336,0.00735,0.465,0.21738,0.12429,1.42461,3.63622,1.27931,0.000629533,0.000629533,0.000629533
1,41.1729,3.01786,5.29832,1.78923,0.00357,0.2175,0.07553,0.01963,1.91208,4.8035,1.40112,0.00021109,0.00021109,0.00021109
2,83.9976,1.94774,3.08648,1.25852,0.00497,0.28,0.13294,0.05576,1.67247,3.98246,1.26887,0.000424711,0.000424711,0.000424711
3,141.796,1.52184,2.35187,1.16336,0.00735,0.465,0.21738,0.12429,1.42461,3.63622,1.27931,0.000629533,0.000629533,0.000629533
1,38.8285,3.01786,5.29832,1.78923,0.00357,0.2175,0.07553,0.01963,1.91208,4.8035,1.40112,0.00021109,0.00021109,0.00021109
